Food product,Land use change,Farm,Animal Feed,Processing,Transport,Retail,Packaging,,,,,,,,
Wheat & Rye (Bread),0.1,0.8,0.0,0.2,0.1,0.1,0.1,,,,,,,,
Maize (Meal),0.3,0.5,0.0,0.1,0.1,0.0,0.1,,,,,,,,
Barley (Beer),0.0,0.2,0.0,0.1,0.0,0.3,0.5,,,,,,,,
Oatmeal,0.0,1.4,0.0,0.0,0.1,0.0,0.1,,,,,,,,
Rice,0.0,3.6,0.0,0.1,0.1,0.1,0.1,,,,,,,,
Potatoes,0.0,0.2,0.0,0.0,0.1,0.0,0.0,,,,,,,,
Cassava,0.6,0.2,0.0,0.0,0.1,0.0,0.0,,,,,,,,
Cane Sugar,1.2,0.5,0.0,0.0,0.8,0.0,0.1,,,,,,,,
Beet Sugar,0.0,0.5,0.0,0.2,0.6,0.0,0.1,,,,,,,,
Other Pulses,0.0,1.1,0.0,0.0,0.1,0.0,0.4,,,,,,,,
Peas,0.0,0.7,0.0,0.0,0.1,0.0,0.0,,,,,,,,
Nuts,-2.1,2.1,0.0,0.0,0.1,0.0,0.1,,,,,,,,
Groundnuts,0.4,1.4,0.0,0.4,0.1,0.0,0.1,,,,,,,,
Soymilk,0.2,0.1,0.0,0.2,0.1,0.3,0.1,,,,,,,,
Tofu,1.0,0.5,0.0,0.8,0.2,0.3,0.2,,,,,,,,
Soybean Oil,3.1,1.5,0.0,0.3,0.3,0.0,0.8,,,,,,,,
Palm Oil,3.1,2.1,0.0,1.3,0.2,0.0,0.9,,,,,,,,
Sunflower Oil,0.1,2.1,0.0,0.2,0.2,0.0,0.9,,,,,,,,
Rapeseed Oil,0.2,2.3,0.0,0.2,0.2,0.0,0.8,,,,,,,,
Olive Oil,-0.4,4.3,0.0,0.7,0.5,0.0,0.9,,,,,,,,
Tomatoes,0.4,0.7,0.0,0.0,0.2,0.0,0.1,,,,,,,,
Onions & Leeks,0.0,0.2,0.0,0.0,0.1,0.0,0.0,,,,,,,,
Root Vegetables,0.0,0.2,0.0,0.0,0.1,0.0,0.0,,,,,,,,
Brassicas,0.0,0.3,0.0,0.0,0.1,0.0,0.0,,,,,,,,
Other Vegetables,0.0,0.2,0.0,0.1,0.2,0.0,0.0,,,,,,,,
Citrus Fruit,-0.1,0.3,0.0,0.0,0.1,0.0,0.0,,,,,,,,
Bananas,0.0,0.3,0.0,0.1,0.3,0.0,0.1,,,,,,,,
Apples,0.0,0.2,0.0,0.0,0.1,0.0,0.0,,,,,,,,
Berries & Grapes,0.0,0.7,0.0,0.0,0.2,0.0,0.2,,,,,,,,
Wine,-0.1,0.6,0.0,0.1,0.1,0.0,0.7,,,,,,,,
Other Fruit,0.1,0.4,0.0,0.0,0.2,0.0,0.0,,,,,,,,
Coffee,3.7,10.4,0.0,0.6,0.1,0.1,1.6,,,,,,,,
Dark Chocolate,14.3,3.7,0.0,0.2,0.1,0.0,0.4,,,,,,,,
Bovine Meat (beef herd),16.3,39.4,1.9,1.3,0.3,0.2,0.2,,,,,,,,
Bovine Meat (dairy herd),0.9,15.7,2.5,1.1,0.4,0.2,0.3,,,,,,,,
Lamb & Mutton,0.5,19.5,2.4,1.1,0.5,0.2,0.3,,,,,,,,
Pig Meat,1.5,1.7,2.9,0.3,0.3,0.2,0.3,,,,,,,,
Poultry Meat,2.5,0.7,1.8,0.4,0.3,0.2,0.2,,,,,,,,
Milk,0.5,1.5,0.2,0.1,0.1,0.3,0.1,,,,,,,,
Cheese,4.5,13.1,2.3,0.7,0.1,0.3,0.2,,,,,,,,
Eggs (chicken),0.7,1.3,2.2,0.0,0.1,0.0,0.2,,,,,,,,
Fish (farmed),0.5,3.6,0.8,0.0,0.1,0.0,0.1,,,,,,,,
Crustaceans (farmed),0.2,8.4,2.5,0.0,0.2,0.2,0.3,,,,,,,,
Cereals & Oilcrops Misc.,0.2,0.7,0.0,0.2,0.1,0.0,0.1,,,,,,,,
Oils Misc.,2.0,2.0,0.0,0.5,0.3,0.0,0.9,,,,,,,,
Sweeteners & Honey,0.0,0.0,0.0,0.1,0.7,0.0,0.1,,,,,,,,
Stimulants & Spices Misc.,6.0,4.9,0.0,0.3,0.1,0.0,0.7,,,,,,,,
Animal Fats,2.0,1.2,2.4,0.4,0.3,0.2,0.3,,,,,,,,
Buffalo,9.6,29.0,2.2,1.2,0.4,0.2,0.3,,,,,,,,
"Butter, Cream & Ghee",0.5,1.5,0.2,0.1,0.1,0.3,0.1,,,,,,,,
Fish & Crustaceans (capture),0.0,2.4,0.0,0.0,0.1,0.1,0.1,,,,,,,,
Aquatic Plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
